Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1238586617066967040,en,NO,NO,0,0,"",Fri Mar 13 22:03:55 +0000 2020
1238586617134223363,en,NO,YES,0,43641,"",Fri Mar 13 22:03:56 +0000 2020
1238586617155198976,es,NO,YES,0,19162,"",Fri Mar 13 22:03:56 +0000 2020
1238586617155256320,es,NO,YES,0,32271,"",Fri Mar 13 22:03:56 +0000 2020
1238586617159462919,pt,NO,YES,0,32657,"",Fri Mar 13 22:03:56 +0000 2020
1238586617184600066,fr,NO,YES,0,14643,"",Fri Mar 13 22:03:56 +0000 2020
1238586617205592064,es,NO,YES,0,119,"",Fri Mar 13 22:03:56 +0000 2020
1238586617205592066,en,NO,NO,0,3,"",Fri Mar 13 22:03:56 +0000 2020
1238586617205600259,es,NO,YES,0,28692,"",Fri Mar 13 22:03:56 +0000 2020
1238586617213796352,und,NO,NO,0,0,"",Fri Mar 13 22:03:56 +0000 2020
1238586617218109440,en,NO,YES,0,10712,"",Fri Mar 13 22:03:56 +0000 2020
1238586617222307845,es,NO,YES,0,23195,"",Fri Mar 13 22:03:56 +0000 2020
1238586617234931713,en,NO,YES,0,400,"",Fri Mar 13 22:03:56 +0000 2020
1238586617243283464,en,NO,YES,0,205900,"",Fri Mar 13 22:03:56 +0000 2020
1238586617302056960,en,NO,YES,0,64938,"",Fri Mar 13 22:03:56 +0000 2020
1238586617302069248,pt,NO,YES,0,117,"",Fri Mar 13 22:03:56 +0000 2020
1238586617306263555,en,NO,YES,0,311768,"",Fri Mar 13 22:03:56 +0000 2020
1238586617310449665,en,NO,YES,0,993,"",Fri Mar 13 22:03:56 +0000 2020
1238586617314631684,es,NO,YES,0,110,"",Fri Mar 13 22:03:56 +0000 2020
1238586617318735873,en,NO,YES,0,4297,"",Fri Mar 13 22:03:56 +0000 2020
1238586617318780930,en,NO,YES,0,46267,"",Fri Mar 13 22:03:56 +0000 2020
1238586617322971138,pt,NO,YES,0,2401,"",Fri Mar 13 22:03:56 +0000 2020
1238586617323032576,en,NO,YES,0,10758,"",Fri Mar 13 22:03:56 +0000 2020
1238586617335611402,en,NO,YES,0,41706,"",Fri Mar 13 22:03:56 +0000 2020
1238586617339629568,en,NO,NO,0,0,"",Fri Mar 13 22:03:56 +0000 2020
1238586617339826179,en,NO,YES,0,3006,"",Fri Mar 13 22:03:56 +0000 2020
1238586617348186112,en,NO,NO,0,0,"",Fri Mar 13 22:03:56 +0000 2020
1238586617360560133,en,NO,YES,0,8570,"",Fri Mar 13 22:03:56 +0000 2020
1238586617419440131,en,NO,YES,0,368,"",Fri Mar 13 22:03:56 +0000 2020
1238586617423704065,fr,NO,YES,0,5028,"",Fri Mar 13 22:03:56 +0000 2020
1238586617427787782,en,NO,NO,1,0,"",Fri Mar 13 22:03:56 +0000 2020
1238586617436213248,en,NO,YES,0,331,"",Fri Mar 13 22:03:56 +0000 2020
1238586617494827008,en,NO,YES,0,569,"",Fri Mar 13 22:03:56 +0000 2020
1238586617528569865,en,NO,YES,0,173,"",Fri Mar 13 22:03:56 +0000 2020
1238586617536720896,en,NO,YES,0,241,"",Fri Mar 13 22:03:56 +0000 2020
1238586617536876547,en,NO,YES,0,18,"",Fri Mar 13 22:03:56 +0000 2020
1238586617574686720,tr,NO,NO,0,0,"",Fri Mar 13 22:03:56 +0000 2020
1238586617578901514,en,NO,YES,0,315,"",Fri Mar 13 22:03:56 +0000 2020
1238586617587281920,pt,NO,NO,1,0,"",Fri Mar 13 22:03:56 +0000 2020
1238586617599754241,en,NO,YES,0,38557,"",Fri Mar 13 22:03:56 +0000 2020
1238586617612271616,en,NO,YES,0,235282,"",Fri Mar 13 22:03:56 +0000 2020
1238586617620824071,en,NO,YES,0,11389,"",Fri Mar 13 22:03:56 +0000 2020
1238586619667419136,en,NO,NO,4,1,"",Fri Mar 13 22:03:56 +0000 2020
1238586619667656704,en,NO,NO,1,0,"",Fri Mar 13 22:03:56 +0000 2020
1238586619734757376,en,NO,YES,0,11,"",Fri Mar 13 22:03:56 +0000 2020
1238586619747274753,en,NO,NO,0,0,"",Fri Mar 13 22:03:56 +0000 2020
1238586619780890629,en,NO,YES,0,65,"",Fri Mar 13 22:03:56 +0000 2020
1238586619797688326,es,NO,YES,0,14835,"",Fri Mar 13 22:03:56 +0000 2020
1238586619814391811,en,NO,YES,0,99674,"",Fri Mar 13 22:03:56 +0000 2020
1238586619814457344,es,NO,YES,0,3674,"",Fri Mar 13 22:03:56 +0000 2020
1238586619843604480,ja,NO,YES,0,303,"",Fri Mar 13 22:03:56 +0000 2020
1238586619881545728,en,NO,YES,0,71,"",Fri Mar 13 22:03:56 +0000 2020
1238586619885576194,en,NO,YES,0,1260,"",Fri Mar 13 22:03:56 +0000 2020
1238586619885690882,en,NO,YES,0,58387,"",Fri Mar 13 22:03:56 +0000 2020
1238586619885768705,en,NO,YES,0,1,"",Fri Mar 13 22:03:56 +0000 2020
1238586619906621441,en,NO,NO,0,0,"",Fri Mar 13 22:03:56 +0000 2020
1238586619910852610,en,NO,YES,0,55213,"",Fri Mar 13 22:03:56 +0000 2020
1238586619915120640,es,NO,YES,0,6921,"",Fri Mar 13 22:03:56 +0000 2020
