Tweet_ID,Language,Geolocation_coordinate,RT,Likes,Retweets,Country,Date Created
1252492261616578560,tl,NO,YES,0,43,"",Tue Apr 21 07:00:00 +0000 2020
1252492261629231104,fi,NO,YES,0,21,"",Tue Apr 21 07:00:00 +0000 2020
1252492261759291392,en,NO,NO,1,0,"",Tue Apr 21 07:00:00 +0000 2020
1252492263667593217,en,NO,NO,6,4,"",Tue Apr 21 07:00:00 +0000 2020
1252492263730679808,es,NO,NO,10,8,"",Tue Apr 21 07:00:00 +0000 2020
1252492263785000961,it,NO,NO,0,0,"",Tue Apr 21 07:00:00 +0000 2020
1252492263793455104,ja,NO,YES,0,2473,"",Tue Apr 21 07:00:00 +0000 2020
1252492263889960960,es,NO,NO,9,8,"",Tue Apr 21 07:00:00 +0000 2020
1252492263910825985,en,NO,NO,0,0,"",Tue Apr 21 07:00:00 +0000 2020
1252492264049238029,en,NO,NO,6,14,"",Tue Apr 21 07:00:00 +0000 2020
1252492264112357379,en,NO,NO,0,0,"",Tue Apr 21 07:00:00 +0000 2020
1252492264221347841,tr,NO,NO,2,2,"",Tue Apr 21 07:00:00 +0000 2020
1252492264229634048,en,NO,NO,2,1,"",Tue Apr 21 07:00:00 +0000 2020
1252492264233975813,en,NO,NO,60,42,"",Tue Apr 21 07:00:00 +0000 2020
1252492264246521862,en,NO,NO,20,0,"",Tue Apr 21 07:00:00 +0000 2020
1252492264296730630,en,NO,NO,0,0,"",Tue Apr 21 07:00:00 +0000 2020
1252492264296898560,ca,NO,NO,7,10,"",Tue Apr 21 07:00:00 +0000 2020
1252492264305242112,in,NO,NO,0,0,"",Tue Apr 21 07:00:00 +0000 2020
1252492264317882370,en,NO,NO,1,3,"",Tue Apr 21 07:00:00 +0000 2020
1252492264322072577,en,NO,NO,0,2,"",Tue Apr 21 07:00:00 +0000 2020
1252492264322093061,en,NO,NO,0,0,"",Tue Apr 21 07:00:00 +0000 2020
1252492264326205440,und,NO,NO,0,0,"",Tue Apr 21 07:00:00 +0000 2020
1252492264330285057,en,NO,NO,52,16,"",Tue Apr 21 07:00:00 +0000 2020
1252492264347250689,en,NO,NO,1,0,"",Tue Apr 21 07:00:00 +0000 2020
1252492264351371269,en,NO,NO,1,2,"",Tue Apr 21 07:00:00 +0000 2020
1252492264363790336,fr,NO,NO,0,0,"",Tue Apr 21 07:00:00 +0000 2020
1252492264372199430,hi,NO,NO,0,0,"",Tue Apr 21 07:00:00 +0000 2020
1252492264397471747,en,NO,NO,0,0,"",Tue Apr 21 07:00:00 +0000 2020
