"","LanguageLong","total","Percentage"
"1","English",836946873,68.1750438648114
"2","Spanish; Castilian",150043766,12.2220903843338
"3","Portuguese",45749631,3.72662017248966
"4","Bahasa",32794776,2.67135867814714
"5","French",32717712,2.66508128856617
"6","Other",28098063,2.28877929930594
"7","German",14092183,1.14790463429565
"8","Italian",13193149,1.07467216953207
"9","Japanese",12801676,1.04278401771758
"10","Turkish",10717359,0.873002150448242
"11","Thai",9064903,0.738398313670814
"12","Hindi",8260090,0.672840793417111
"13","Tagalog",6024451,0.490732714866607
"14","Dutch; Flemish",5578505,0.454407364844853
"15","Catalan; Valencian",4881878,0.397662333810593
"16","Polish",1704575,0.138849285593616
"17","Arabic",1564398,0.127430910745542
"18","Russian",1486904,0.121118494725248
"19","Tamil",1121043,0.0913166153849049
"20","Chinese",993908,0.080960600587114
"21","Korean",956514,0.0779146036755743
"22","Greek, Modern (1453-)",891318,0.0726039438198558
"23","Estonian",732016,0.0596277069903621
"24","Swedish",694555,0.0565762524708353
"25","Romanian; Moldavian; Moldovan",594133,0.0483961941232225
"26","Urdu",583557,0.047534706629602
"27","Czech",546560,0.0445210480818074
"28","Haitian; Haitian Creole",441179,0.0359370452863065
"29","Finnish",402308,0.0327707366285417
"30","Danish",393539,0.0320564416369043
"31","Marathi",389207,0.0317035706249561
"32","Lithuanian",327166,0.0266499070856495
"33","Slovenian",275729,0.022460011831361
"34","Ukrainian",270071,0.0219991290553678
"35","Telugu",227242,0.0185104142421803
"36","Persian",204800,0.016682359936977
"37","Gujarati",202884,0.0165262886399104
"38","Latvian",191313,0.0155837515948383
"39","Welsh",163777,0.0133407561689369
"40","Norwegian",152889,0.0124538541426
"41","Basque",145520,0.0118535987208442
"42","Vietnamese",132081,0.0107589003068157
"43","Bengali",131448,0.0107073381298621
"44","Kannada",127256,0.0103658710749021
"45","Nepali",111736,0.00910166098592804
"46","Malayalam",104573,0.008518185672312
"47","Oriya",88455,0.00720526439563135
"48","Hungarian",79307,0.00646009726329021
"49","Serbian",43538,0.00354646770964895
"50","Icelandic",37704,0.00307124853058487
"51","Bulgarian",37379,0.00304477505900519
"52","Burmese",36328,0.0029591639247583
"53","Sinhala; Sinhalese",31374,0.00255562676104842
"54","Panjabi; Punjabi",28173,0.00229488343019753
"55","Amharic",7303,0.000594879270604214
"56","Pushto; Pashto",7011,0.000571093874600321
"57","Divehi; Dhivehi; Maldivian",6324,0.000515133028522669
"58","Armenian",4278,0.000348472342824158
"59","Sindhi",2691,0.000219200344679713
"60","Georgian",2373,0.000193297070949446
"61","Central Khmer",1382,0.000112573346840343
"62","Lao",800,6.51654685038164e-05
"63","Tibetan",250,2.03642089074426e-05
"64","Uighur; Uyghur",171,1.39291188926908e-05
