"","V4","total"
"1","#covid19",100833288
"2","#coronavirus",41269698
"3","#covid",11743952
"4","#covid<u+30fc>19",2252353
"5","#lockdown",1737543
"6","#stayhome",1334207
"7","#corona",1185979
"8","#china",1160193
"9","#wuhan",686574
"10","#covidー19",645610
"11","#wearamask",578205
"12","#modijipostponejeeneet",394921
"13","#swamyjihelpjeeneet",358124
"14","#endsars",349939
"15","#satyagrahagainstexamsincovid",319539
"16","#coronavirusoutbreak",266085
"17","#protestagainstexamsincovid",262955
"18","#indiaunitedtopostponejeeneet",213333
"19","#postponeneetandjee",207212
"20","#trumpknew",198243
"21","#covid2019",196353
"22","#bts",187809
"23","#postponejeeandneet",153978
"24","#trump",146851
"25","#hydroxychloroquine",144827
"26","#india",137381
"27","#preveniresvencer",136661
"28","#wuhancoronavirus",128167
"29","#speakupforsscrailwaysstudends",125575
"30","#stopprivatisationsavegovtjob",124066
"31","#activoscontraelvirus",107547
"32","#postponesscchsl",107537
"33","#speakupforstudentsafety",106753
"34","#todoscontraelvirus",106573
"35","#sputnikvgarantizavida",102840
"36","#surakshabeforepariksha",102441
"37","#lacovidnoesjuego",102419
"38","#postponejeeneetsept",99232
"39","#trumpvirus",98434
"40","#stayathome",98153
"41","#vaccine",97186
"42","#hopetogaza",96632
"43","#cuidémonosenfamilia",94952
"44","#cancelboardexams2021",94022
"45","#ntapostponejeeneet",93751
"46","#sputnikvcontracovid",93352
"47","#unidosenprevención",92619
"48","#rgpvspreadingcoronavirus",92426
"49","#trumphascovid",91625
"50","#postponechsl2020",90916
"51","#antistudentmodigovt",90243
"52","#ripsubhasrisave30lakh",88194
"53","#cancelboardexams",85771
"54","#togetherathome",85566
"55","#lacovidnoescoba",83771
"56","#prevenireslaclave",82620
"57","#coronaoutbreak",76953
"58","#juntoscontralacovid19",76302
"59","#savejeeneetstudentspm",76121
"60","#neetjee",75354
"61","#postponeexamsorresignmodi",75133
"62","#prevenireselantídoto",74900
"63","#envenezuelanoscuidamos",73334
"64","#radicalescontralacovid19",73213
"65","#sopcantsavejeeneet",72604
"66","#parentsdemandpostponeneet",71834
"67","#largestvaccinedrive",71659
"68","#modijicancel12thboards",70260
"69","#safehands",69751
"70","#prevenirporlavida",67702
"71","#prevenirsalvavidas",65946
"72","#pawankalyanbirthdaycdp",62844
"73","#bioseguridadporlavida",62493
"74","#cuídatedelacovid19",62145
"75","#daleunparaoalacovid",61731
"76","#luchacontralacovid19",61532
"77","#breaking",61271
"78","#worldhealthday",60653
"79","#pltpinkmonday",60470
"80","#laprevenciónesclave",59646
"81","#modijihelpjeeneet",58748
"82","#evitaelcontagio",58524
"83","#unga",58485
"84","#scpostponejeeneet",56529
"85","#notimippci",55778
"86","#cancelboardexam2021",55229
"87","#cuidémonosdelvirus",54724
"88","#coronavirusupdate",53999
"89","#prevenciónenfamilia",53898
"90","#astrazeneca",53733
"91","#coronavir",51999
"92","#anonymous",51722
"93","#cuídatedelcovid19",50665
"94","#mannkinahistudentskibaat",50453
"95","#nomeatnocoronavirus",49524
"96","#cuidémonosdelacovid",49458
"97","#flexibilizaciónsegura",48793
"98","#musicbank",48515
"99","#semanaflexible",48435
"100","#swamyjihelpneetjeeaspirants",47422
"101","#preveniresclave",47199
"102","#antistudentnarendramodi",46930
"103","#executiveorder",46617
"104","#postponejeeneetincovid",46348
"105","#debates2020",46226
"106","#cuarentenaconsciente",46208
"107","#exigimosinsumosdecalidad",45934
