"","V4","total"
"1","@realDonaldTrump",14106218
"2","@realdonaldtrump",7159966
"3","@mippcivzla",4188057
"4","@joebiden",3436553
"5","@narendramodi",2707473
"6","@JoeBiden",1901092
"7","@potus",1064860
"8","@nicolasmaduro",904206
"9","@DrRPNishank",872180
"10","@vtvcanal8",804438
"11","@drdavidsamadi",680041
"12","@CNN",679706
"13","@aoc",672994
"14","@kamalaharris",604068
"15","@LicypriyaK",579101
"16","@ProjectLincoln",535328
"17","@WHO",517395
"18","@pmoindia",416786
"19","@drericding",400676
"20","@kkmputrajaya",383603
"21","@RealJamesWoods",355196
"22","@NYGovCuomo",321033
"23","@Swamy39",319706
"24","@charliekirk11",308279
"25","@kylegriffin1",304349
"26","@rahulgandhi",297634
"27","@BarackObama",273669
"28","@DrTedros",266338
"29","@flotus",259076
"30","@BernieSanders",234491
"31","@elonmusk",230583
"32","@OHmes2",227711
"33","@ConflitsFR",224356
"34","@btstwt",212281
"35","@unicef",208177
"36","@KamalaHarris",207473
"37","@Ibraofficial",207316
"38","@nytimes",204905
"39","@rexchapman",193994
"40","@drrpnishank",192878
"41","@realcandaceo",176382
"42","@RealCandaceO",164374
"43","@AOC",163899
"44","@spectatorindex",163827
"45","@lopezobrador",159329
"46","@BrynnTannehill",154632
"47","@zornitsaxx",154615
"48","@skaijackson",152123
"49","@ohmes2",151758
"50","@PMOIndia",149552
"51","@sheriantoinette",148799
"52","@donaldjtrumpjr",147443
"53","@BTStwt",144579
"54","@angelicaxval",144571
"55","@MikelJollett",143077
"56","@funder",142855
"57","@RahulGandhi",142265
"58","@stfunell",134474
"59","@ASlavitt",131967
"60","@tedlieu",131829
"61","@biondiewasabi",130084
"62","@projectlincoln",127103
"63","@AISAtweets",126978
"64","@ossoff",125079
"65","@KKMPutrajaya",124210
"66","@yzngangel",121432
"67","@unicefchief",121252
"68","@dghisham",118934
"69","@rbreich",117715
"70","@stevenzequ",115899
"71","@donwinslow",115612
"72","@wewantMor",114172
"73","@KILLBILLEVOL1",113243
"74","@Fayemous",112354
"75","@theogdc",111126
"76","@ani",110586
"77","@demetriachavon",108476
"78","@repkatieporter",107733
"79","@mxwxzz",107030
"80","@bgluckman",105157
"81","@lindseygrahamsc",104396
"82","@danamoralesss",104297
"83","@gregabbotttx",104199
"84","@rekszn",103570
"85","@wendizzle",103011
"86","@realjameswoods",99943
"87","@BT21",99262
"88","@riotwaltz",98842
"89","@clownlito",98827
"90","@miriamh13",96246
"91","@repjayapal",95344
"92","@mediavenir",94853
"93","@505eunice",94156
"94","@khunneung137",92718
"95","@jocehfk",91342
"96","@ZackBornstein",90997
"97","@eugenegu",90932
"98","@bighitent",90380
"99","@curtisisbooger",90000
"100","@Abdulmir19",89834
"101","@theprincedylan",89725
"102","@RJXXIV",89499
"103","@CamealAshley",89004
"104","@migizikwe",88989
"105","@nickwiger",88927
"106","@HeavenSentMel",87053
"107","@SrBachchan",86853
"108","@MatthewACherry",86599
"109","@allareblessed",86382
"110","@JackPosobiec",86043
"111","@intothebrush",85848
"112","@moonriver365",85717
"113","@washikirei",85241
"114","@buhrooke",83531
"115","@alsoto7",82605
"116","@sugaplumami",82555
"117","@yagirlkat",82238
"118","@naomusiker",80809
"119","@emaperidol",80555
"120","@KyleKulinski",80390
"121","@llinwood",80278
"122","@Tgiferb",80271
"123","@BrianduNord",80022
"124","@SandeepSaurav",79285
"125","@rudygiuliani",78880
"126","@alfredodelmazo",78772
"127","@tarak9999",78141
"128","@jimjordan",78092
"129","@maddow",77894
"130","@mhdksafa",77882
"131","@danpriceseattle",77831
"132","@itsdryx",77638
"133","@erictile",76850
"134","@jrnalll",76585
"135","@jodidoering",76477
"136","@jenniferjjacobs",76472
"137","@DatMichCray",75982
"138","@khetithegreat",75908
"139","@ilneroback",75859
"140","@CoachJustice10",75769
"141","@goldoveries",75664
"142","@mrgoya01",74980
"143","@cxrpxe",74751
"144","@valeriatapia",74439
"145","@marinarasawce",74292
"146","@fvrnandaa",74281
"147","@JudahTheSimp",74141
"148","@alanaauston",73817
"149","@officialplt",72343
"150","@f8th",72293
"151","@lexilulu",71668
"152","@saysthefox",71460
"153","@jennidigital",70537
"154","@whitehouse",70366
"155","@bassbarbie182",70150
"156","@berniesanders",69204
"157","@KanganaTeam",69070
"158","@BorisJohnson",69044
"159","@DanRather",68297
"160","@siwuol",67330
"161","@paulsperry",67269
"162","@kingdeficit",67178
"163","@zachnm",66891
"164","@ishathepoet",66814
"165","@drsimonegold",66404
"166","@MK813",66328
"167","@kiranxx",66067
"168","@oscaardiaz",65958
"169","@ellorysmith",65693
"170","@chancsmith",65229
"171","@vp",64930
"172","@forensictoxguy",64927
"173","@Loeybug",64753
"174","@mitsurutenma",64497
"175","@hlgatell",64475
"176","@jemelehill",64321
"177","@bcraigv",63819
"178","@eyekon131",63249
"179","@danhaelle",63199
"180","@birdexecutive",63086
"181","@dcmadness202",63011
"182","@nyshuffler",62918
"183","@DaniOliver",62577
"184","@JJMaples55MST",62326
"185","@PlainJanie",61957
"186","@DGHisham",61892
"187","@edmcupid",61757
"188","@stellaimmanuel",61735
"189","@borisjohnson",61498
"190","@kynjoy",61484
"191","@radseed",61457
"192","@danaoneika",61075
"193","@volinxx",60986
"194","@nicolecoyle5",60693
"195","@diayannna",60577
"196","@Ixyaaa",59754
"197","@Toniob38",59561
"198","@BladeHalll",59272
"199","@KBSeauxluxe",59064
"200","@yoyotrav",58174
"201","@adoraIbe",58080
"202","@PiyushGoyal",58001
"203","@60minutes",57823
"204","@rofnl",57360
"205","@helloalegria",57319
"206","@omithewaffler",57242
"207","@bestofmarshall",57193
"208","@marcorubio",57187
"209","@cnn",57036
"210","@justwinnie",56960
"211","@coastaleddylb",56786
"212","@WITCHTRlALS",56775
"213","@mas1z1",56497
"214","@btstwts",56468
"215","@beyabean",56393
"216","@btsbighit",56185
"217","@EMRESUS",55961
"218","@AlexEdelman",55875
"219","@ifpiorg",55623
"220","@itsma",55275
"221","@IAMJADEJACKSON",55203
"222","@peytnhaag",55088
"223","@joeltkl",54838
"224","@UN",54780
"225","@HypNADic",54743
"226","@halldrunkface",54685
"227","@benoobrown",54599
"228","@bluebluwhale",54385
"229","@tevonblair",54187
"230","@RexChapman",54167
"231","@thinkpositiveal",54139
"232","@duttypaul",54056
"233","@ProjectJosiee",54055
"234","@TheRealHazz",53495
"235","@mintitapreview",53475
"236","@adazzlinhaze",53378
"237","@jordanklepper",53108
"238","@ampizzzle",52398
"239","@slothanova",52397
"240","@KatlynMarie06",52259
"241","@Heavenlyxoxo",52056
"242","@addien90",52033
"243","@lylaconni",52026
"244","@thebklynvillain",51758
"245","@wizkidayo",51688
"246","@TuckerCarlson",51520
"247","@firstgentleman",51433
"248","@liamdunne",51071
"249","@dougmar",51025
"250","@mmpadellan",51004
"251","@atrupar",50935
"252","@GEMINI",50930
"253","@th0tcouture",50867
"254","@lincnotfound",50748
"255","@jackposobiec",50126
"256","@notjoss",50115
"257","@quincyhicks",50053
"258","@iamelmars",49940
"259","@nickteeev",49748
"260","@Sphiamia",49652
"261","@ray14man",49590
"262","@briantylercohen",49311
"263","@b20e",49014
"264","@realhomomarcus",48914
"265","@jreganwilliams",48855
"266","@bobabiss",48826
"267","@pfizer",48727
"268","@masonthisis",48718
"269","@IngrahamAngle",48296
"270","@barackobama",48217
"271","@7eandra",47966
"272","@jbrous41",47736
"273","@tinnkky",47683
"274","@OlaTinee",47417
"275","@AsiaChloeBrown",47409
"276","@bladehalll",47343
"277","@venieshaaa",47141
"278","@60Minutes",46811
"279","@keepoffgrass",46607
"280","@davew97",46548
"281","@VONN3K",46503
"282","@billiebelieves",45968
"283","@layc04",45851
