Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
1223440835175313408,coronavirus,0,11,MISC,0.9502
1223440835175313408,wuhan,97,102,LOC,0.9999
1223440835204698114,afp,33,36,ORG,0.9999
1223440835204698114,coronavirus,88,99,MISC,0.9999
1223440835204698114,wuhan,103,108,LOC,1.0
1223440835204698114,china,110,115,LOC,1.0
1223440835234033665,parís,0,5,ORG,0.6029
1223440835234033665,parís,198,203,LOC,1.0
1223440835271962624,colombia,61,69,LOC,1.0
1223440835271962624,la guajira,103,113,LOC,0.9999
1223440835531853824,nicaragua,0,9,LOC,1.0
1223440835531853824,wuhan,45,50,LOC,0.9999
1223440835531853824,china,52,57,LOC,1.0
1223440835548721152,china,0,5,LOC,0.879
1223440835556937728,organización mundial de la salud,49,81,ORG,0.9999
1223440835808841728,ee,0,2,ORG,0.9973
1223440835808841728,uu,4,6,ORG,0.996
1223440835808841728,wuhan,72,77,LOC,1.0
1223440836081274882,comunicado técnico diario,0,25,MISC,0.9996
1223440836081274882,nuevo coronavirus en el mundo,27,56,MISC,0.9998
1223440836119220225,el salvador,57,68,LOC,1.0
1223440836244971521,coronavirus,0,11,MISC,0.9998
1223440837012606976,corona,123,129,MISC,0.9998
1223440837130047488,porsinoloviste,0,14,MISC,0.8772
1223440837130047488,oms,18,21,ORG,0.9998
1223440837130047488,coronavirus,33,44,MISC,0.9999
1223440837130047488,emergencia internacional,50,74,MISC,0.9998
1223440837209542657,corea del norte,0,15,ORG,0.6356
1223440837209542657,china,55,60,LOC,0.995
1223440837331255297,méxico lindo,2,14,MISC,0.884
1223440837331255297,feria de san marcos,49,68,MISC,0.9999
1223440837331255297,elincorrectomx,161,175,ORG,0.9926
1223440837469667328,wuhan,23,28,LOC,1.0
1223440837469667328,yoestuveahí,113,124,MISC,0.9982
1223440837469667328,vanessahauc,127,138,PER,0.6661
1223440837469667328,juliovaqueiro,152,165,PER,0.9993
1223440837528387585,porsiteloperdiste,0,17,MISC,0.992
1223440837528387585,china,107,112,LOC,1.0
1223440837528387585,onu,236,239,ORG,1.0
1223440837692076032,wuhan,28,33,LOC,1.0
1223440841689239558,josafatmoraila,4,18,PER,0.9996
1223440841689239558,ozzy osbourne,20,33,PER,0.9998
1223440841689239558,coronavirus,69,80,MISC,0.9999
1223440842372853761,notengoonichan,1,15,PER,0.9879
1223440842934931461,actualidadrt,1,13,ORG,0.5837
1223440843908046849,carlosg89138598,4,19,PER,0.9991
1223440843908046849,pelaizsacha,22,33,PER,0.9997
1223440843908046849,guerrerocuba,35,47,PER,0.5616
1223440843908046849,frank201919,49,60,PER,0.995
1223440843908046849,ignaciovalle3,62,75,PER,0.9975
1223440843908046849,radioproletrio,77,91,ORG,0.7537
1223440843908046849,elmachoaguero,93,106,PER,0.9996
1223440843908046849,florycantox,108,119,PER,0.9933
1223440843908046849,tpu19j,121,127,ORG,0.8192
1223440843908046849,aquicuba,129,137,PER,0.3943
1223440845262725121,cnnee,4,9,ORG,1.0
1223440845262725121,wuhan,67,72,LOC,1.0
1223440845745147904,coronavirus,0,11,MISC,0.9994
1223440845745147904,china,29,34,LOC,0.9989
1223440846361702402,abcfilmaciones,4,18,ORG,0.9998
1223440846361702402,china,106,111,LOC,0.9999
1223440846579740678,elvirarelv,1,11,PER,0.8278
1223440846835593216,ch6rrykoo,4,13,PER,0.5168
1223440846835593216,china,81,86,LOC,0.9985
1223440848131485696,eficiencia,39,49,MISC,0.9824
1223440848311980034,coronavirus,0,11,MISC,0.9642
1223440848311980034,china,64,69,LOC,0.9999
1223440848311980034,ee,72,74,LOC,0.9994
1223440848311980034,uytitulares,79,90,ORG,0.9983
1223440848433623040,juliiurrego,1,12,PER,0.9994
