"","Year","Month","Day","Text","Count"
"1",2020,1,30,"oms",8256
"2",2020,1,30,"china",4068
"3",2020,1,30,"organización mundial de la salud",3263
"4",2020,1,30,"who",1978
"5",2020,1,30,"cnnee",1486
"6",2020,1,31,"oms",6059
"7",2020,1,31,"china",5006
"8",2020,1,31,"menducoliberal",1614
"9",2020,1,31,"organización mundial de la salud",1559
"10",2020,1,31,"rusia",1555
"11",2020,2,1,"china",4464
"12",2020,2,1,"menducoliberal",3874
"13",2020,2,1,"oms",1749
"14",2020,2,1,"ladydisorder",1720
"15",2020,2,1,"eeuu",1581
"16",2020,2,3,"china",8163
"17",2020,2,3,"actualidadrt",2470
"18",2020,2,3,"oms",1726
"19",2020,2,3,"eeuu",1389
"20",2020,2,3,"kona",990
"21",2020,2,4,"china",8111
"22",2020,2,4,"oms",3323
"23",2020,2,4,"actualidadrt",3091
"24",2020,2,4,"reda",2402
"25",2020,2,4,"cnnee",1931
"26",2020,2,5,"china",7402
"27",2020,2,5,"actualidadrt",2809
"28",2020,2,5,"oms",2262
"29",2020,2,5,"can",1743
"30",2020,2,5,"rusia",1383
"31",2020,2,6,"china",7486
"32",2020,2,6,"revluvtion",2412
"33",2020,2,6,"cnnee",2118
"34",2020,2,6,"eeuu",1915
"35",2020,2,6,"actualidadrt",1875
"36",2020,2,7,"china",5136
"37",2020,2,7,"veronista11",4297
"38",2020,2,7,"revluvtion",3204
"39",2020,2,7,"cnnee",2176
"40",2020,2,7,"ensanro",1367
"41",2020,2,8,"china",5708
"42",2020,2,8,"veronista11",3759
"43",2020,2,8,"corona",2563
"44",2020,2,8,"vsports",2105
"45",2020,2,8,"actualidadrt",1575
"46",2020,2,9,"china",6018
"47",2020,2,9,"actualidadrt",1432
"48",2020,2,9,"corona",1344
"49",2020,2,9,"bbcmundo",1195
"50",2020,2,9,"eeuu",1085
"51",2020,2,10,"china",7177
"52",2020,2,10,"viral24h",2833
"53",2020,2,10,"eeuu",1702
"54",2020,2,10,"oms",1399
"55",2020,2,10,"sony",1361
"56",2020,2,11,"oms",6283
"57",2020,2,11,"china",5073
"58",2020,2,11,"wuahn china",2383
"59",2020,2,11,"antena 3",1841
"60",2020,2,11,"cnnee",1736
"61",2020,2,12,"china",4706
"62",2020,2,12,"oms",3167
"63",2020,2,12,"hdez",2184
"64",2020,2,12,"kma",1641
"65",2020,2,12,"sony",1195
"66",2020,2,13,"china",5495
"67",2020,2,13,"sony",2206
"68",2020,2,13,"actualidadrt",1502
"69",2020,2,13,"oms",1469
"70",2020,2,13,"alertanews24",1326
"71",2020,2,14,"china",6595
"72",2020,2,14,"cancillería",3884
"73",2020,2,14,"oms",2114
"74",2020,2,14,"actualidadrt",1798
"75",2020,2,14,"rusia",1201
"76",2020,2,15,"china",5737
"77",2020,2,15,"oms",1591
"78",2020,2,15,"realmadrid",1235
"79",2020,2,15,"actualidadrt",1185
"80",2020,2,15,"txtvirus",1077
"81",2020,2,16,"china",5512
"82",2020,2,16,"oms",1838
"83",2020,2,16,"eeuu",1389
"84",2020,2,16,"corona",1199
"85",2020,2,16,"actualidadrt",1051
"86",2020,2,17,"china",6628
"87",2020,2,17,"river",1706
"88",2020,2,17,"bbcmundo",1306
"89",2020,2,17,"rusia",1205
"90",2020,2,17,"eeuu",1199
"91",2020,2,18,"china",5641
"92",2020,2,18,"rusia",1870
"93",2020,2,18,"apple",1545
"94",2020,2,18,"eeuu",1097
"95",2020,2,18,"finanzas",1091
"96",2020,2,19,"china",5490
"97",2020,2,19,"juanmalauria",2272
"98",2020,2,19,"rusia",2181
"99",2020,2,19,"bts",2050
"100",2020,2,19,"cnnee",1002
"101",2020,2,21,"china",4397
"102",2020,2,21,"auronplay",3741
"103",2020,2,21,"albertorodnews",1526
"104",2020,2,21,"finanzas",1267
"105",2020,2,21,"china suarez",1129
"106",2020,2,22,"china",4017
"107",2020,2,22,"oms",1820
"108",2020,2,22,"finanzas",1281
"109",2020,2,22,"rusia",1218
"110",2020,2,22,"auronplay",1170
"111",2020,2,23,"china",679
"112",2020,2,23,"maihenh",529
"113",2020,2,23,"finanzas",430
"114",2020,2,23,"alertanews24",377
"115",2020,2,23,"pmarsupia",348
"116",2020,2,24,"oms",12106
"117",2020,2,24,"china",2830
"118",2020,2,24,"el",2748
"119",2020,2,24,"//",2603
"120",2020,2,24,"pmarsupia",2516
"121",2020,2,25,"oms",6585
"122",2020,2,25,"pmarsupia",3904
"123",2020,2,25,"inpattwetrust",3286
"124",2020,2,25,"china",2377
"125",2020,2,25,"aaandrios",1637
"126",2020,2,27,"jmtoya",4880
"127",2020,2,27,"aestheticmanic",4289
"128",2020,2,27,"oms",2668
"129",2020,2,27,"china",1393
"130",2020,2,27,"actualidadrt",825
"131",2020,2,28,"noestoyperdon",4709
"132",2020,2,28,"espanabizarra",2421
"133",2020,2,28,"oms",2142
"134",2020,2,28,"imss",1994
"135",2020,2,28,"jmtoya",1887
"136",2020,2,29,"imss",1811
"137",2020,2,29,"noestoyperdon",1714
"138",2020,2,29,"china",1679
"139",2020,2,29,"oms",1546
"140",2020,2,29,"chaira",1098
"141",2020,3,1,"chaira",2086
"142",2020,3,1,"pmarsupia",1265
"143",2020,3,1,"china",913
"144",2020,3,1,"oms",800
"145",2020,3,1,"gobierno",694
"146",2020,3,2,"china",1045
"147",2020,3,2,"qvef",1020
"148",2020,3,2,"oms",783
"149",2020,3,2,"gobierno",759
"150",2020,3,2,"sevilla",726
"151",2020,3,3,"gobierno",1777
"152",2020,3,3,"actualidadrt",1661
"153",2020,3,3,"oms",1283
"154",2020,3,3,"china",1208
"155",2020,3,3,"cnnee",1061
"156",2020,3,4,"molerogascon",4780
"157",2020,3,4,"lunadibracco",2583
"158",2020,3,4,"bill4game",2297
"159",2020,3,4,"gobierno",1693
"160",2020,3,4,"kaledian",1413
"161",2020,3,5,"sool",1844
"162",2020,3,5,"oms",1435
"163",2020,3,5,"azulmowszet",1215
"164",2020,3,5,"china",1103
"165",2020,3,5,"ladyprecarizada",1079
"166",2020,3,6,"oms",2127
"167",2020,3,6,"gobierno",1484
"168",2020,3,6,"asofiaferrara",1396
"169",2020,3,6,"minsaludcol",1169
"170",2020,3,6,"cnnee",1033
"171",2020,3,7,"auronplay",3706
"172",2020,3,7,"alvisepf",2160
"173",2020,3,7,"gobierno",2075
"174",2020,3,7,"antena 3",2054
"175",2020,3,7,"china",1385
"176",2020,3,8,"myfavstrash",2270
"177",2020,3,8,"gobierno",2035
"178",2020,3,8,"reino",1743
"179",2020,3,8,"auronplay",1717
"180",2020,3,8,"guidoar",1420
"181",2020,3,9,"pmarsupia",3492
"182",2020,3,9,"gobierno",1889
"183",2020,3,9,"china",1599
"184",2020,3,9,"oms",1265
"185",2020,3,9,"italia",1063
"186",2020,3,11,"oms",4816
"187",2020,3,11,"gobierno",4394
"188",2020,3,11,"vox",2878
"189",2020,3,11,"china",2309
"190",2020,3,11,"organización mundial de la salud",1714
"191",2020,3,12,"gobierno",3936
"192",2020,3,12,"oms",3735
"193",2020,3,12,"nba",2428
"194",2020,3,12,"china",2332
"195",2020,3,12,"estados unidos",2121
"196",2020,3,13,"oms",3065
"197",2020,3,13,"china",2559
"198",2020,3,13,"gobierno",2484
"199",2020,3,13,"esdecir2",1178
"200",2020,3,13,"italia",923
"201",2020,3,14,"china",3565
"202",2020,3,14,"gobierno",2887
"203",2020,3,14,"oms",2457
"204",2020,3,14,"cuba",1409
"205",2020,3,14,"coronavid19",1112
"206",2020,3,15,"china",3127
"207",2020,3,15,"gobierno",2747
"208",2020,3,15,"auronplay",1657
"209",2020,3,15,"italia",1515
