"","Year","Month","Day","Text","Count"
"1",2020,1,30,"cherri3sandwine",2567
"2",2020,1,30,"cristina",1290
"3",2020,1,30,"craig faller",700
"4",2020,1,30,"evo morales",435
"5",2020,1,30,"julianroman",404
"6",2020,1,31,"marcelo ebrard",2372
"7",2020,1,31,"mao zedong",1648
"8",2020,1,31,"hitler",1629
"9",2020,1,31,"josef stal",1613
"10",2020,1,31,"evo morales",1592
"11",2020,2,1,"hitler",3912
"12",2020,2,1,"mao zedong",3909
"13",2020,2,1,"josef stal",3870
"14",2020,2,1,"gabocarvajalsw",2971
"15",2020,2,1,"evo morales",894
"16",2020,2,3,"celiasanchezzzz",5690
"17",2020,2,3,"uliisesgonzalez",3592
"18",2020,2,3,"drsoxion",3505
"19",2020,2,3,"leslie chow",1807
"20",2020,2,3,"iwolowitz",1699
"21",2020,2,4,"celiasanchezzzz",1718
"22",2020,2,4,"carmen calvo",1592
"23",2020,2,4,"cristinasegui",1585
"24",2020,2,4,"nisman",1400
"25",2020,2,4,"nestor",1319
"26",2020,2,5,"carlosloret",1892
"27",2020,2,5,"seade",1770
"28",2020,2,5,"milyespindolaa",1241
"29",2020,2,5,"maduro",724
"30",2020,2,5,"carmen calvo",686
"31",2020,2,6,"li wenliang",3198
"32",2020,2,6,"carlosloret",998
"33",2020,2,6,"mashirafael",995
"34",2020,2,6,"girautaoficial",857
"35",2020,2,6,"seade",853
"36",2020,2,7,"li wenliang",2817
"37",2020,2,7,"mashirafael",938
"38",2020,2,7,"alvarito",795
"39",2020,2,7,"luo li rong",711
"40",2020,2,7,"liwenliang",676
"41",2020,2,8,"ezechilo",3842
"42",2020,2,8,"abrahamendieta",1482
"43",2020,2,8,"margarita zavala",1395
"44",2020,2,8,"li wenliang",1391
"45",2020,2,8,"ceciliaheyder",785
"46",2020,2,9,"ezechilo",1977
"47",2020,2,9,"tecatito corona",1475
"48",2020,2,9,"ceciliaheyder",845
"49",2020,2,9,"corona",682
"50",2020,2,9,"drvicoficial",628
"51",2020,2,10,"trump",1469
"52",2020,2,10,"tom cotton",835
"53",2020,2,10,"li wenliang",722
"54",2020,2,10,"ezechilo",675
"55",2020,2,10,"robindeespacio",555
"56",2020,2,11,"pauletta",4669
"57",2020,2,11,"duque",2474
"58",2020,2,11,"carlosloret",2217
"59",2020,2,11,"donizquierdo",2148
"60",2020,2,11,"pablolpez",1572
"61",2020,2,12,"pauletta",7520
"62",2020,2,12,"pablolpez",1797
"63",2020,2,12,"tevoyacureosear",1221
"64",2020,2,12,"carlosloret",904
"65",2020,2,12,"morena",895
"66",2020,2,13,"davidtorrespub",4679
"67",2020,2,13,"andrea",2084
"68",2020,2,13,"andreslpzo",1970
"69",2020,2,13,"pabloamerico1",1685
"70",2020,2,13,"queensdeledit",1647
"71",2020,2,14,"davidtorrespub",4031
"72",2020,2,14,"maria fernanda guerrero",2696
"73",2020,2,14,"aida merlano",1119
"74",2020,2,14,"maría fernanda guerrero",947
"75",2020,2,14,"lanataenel13",881
"76",2020,2,15,"soskamewilliam",1576
"77",2020,2,15,"earisteguieta",780
"78",2020,2,15,"diazcanelb",767
"79",2020,2,15,"maria fernanda guerrero",654
"80",2020,2,15,"piñera",503
"81",2020,2,16,"soskamewilliam",1118
"82",2020,2,16,"jesús corona",690
"83",2020,2,16,"merchee94",450
"84",2020,2,16,"xi jinping",412
"85",2020,2,16,"corona",401
"86",2020,2,17,"chen qiushi",1950
"87",2020,2,17,"sergionovelli",1926
"88",2020,2,17,"lenin",1049
"89",2020,2,17,"chauoperetak",581
"90",2020,2,17,"sninobecerra",527
"91",2020,2,18,"milagrosdwarf",902
"92",2020,2,18,"estefanía",790
"93",2020,2,18,"torren",788
"94",2020,2,18,"liu zhiming",733
"95",2020,2,18,"danielsampero",605
"96",2020,2,19,"jungkook",2077
"97",2020,2,19,"milagrosdwarf",1058
"98",2020,2,19,"maduro",851
"99",2020,2,19,"lenin",775
"100",2020,2,19,"dunhill",724
"101",2020,2,21,"piavalentines",1767
"102",2020,2,21,"sergiosarmiento",1437
"103",2020,2,21,"gabrielnoespaki",1142
"104",2020,2,21,"villegaspoljak",511
"105",2020,2,21,"javiermayorca",451
"106",2020,2,22,"joseplay999",1026
"107",2020,2,22,"dean koontz",943
"108",2020,2,22,"garciabanchs",525
"109",2020,2,22,"drcorazon2016",474
"110",2020,2,22,"otraceci",411
"111",2020,2,23,"santiccoria",478
"112",2020,2,23,"omarmontessr",137
"113",2020,2,23,"pochosaurus",115
"114",2020,2,23,"dean koontz",113
"115",2020,2,23,"xi jinping",98
"116",2020,2,24,"juanqui",2445
"117",2020,2,24,"laurazetkin",834
"118",2020,2,24,"dalú",713
"119",2020,2,24,"dennis",685
"120",2020,2,24,"primer ministro",656
"121",2020,2,25,"enfrmrasaturada",5588
"122",2020,2,25,"lorenzo milá",3843
"123",2020,2,25,"murciano",3285
"124",2020,2,25,"mrsunsetgh",2842
"125",2020,2,25,"ibaillanos",2503
"126",2020,2,27,"vicks",4933
"127",2020,2,27,"amlo",1782
"128",2020,2,27,"bipolardo",1234
"129",2020,2,27,"gemajimenez",867
"130",2020,2,27,"susana griso",852
"131",2020,2,28,"leonor",2428
"132",2020,2,28,"amlo",2290
"133",2020,2,28,"vicks",1888
"134",2020,2,28,"kaylenzarate1",1504
"135",2020,2,28,"lopezobrador",1347
"136",2020,2,29,"eileenornot",2236
"137",2020,2,29,"rené",1630
"138",2020,2,29,"manuragaini",1595
"139",2020,2,29,"lopezobrador",1446
"140",2020,2,29,"cirogomezl",884
"141",2020,3,1,"gabygardezx",938
"142",2020,3,1,"eileenornot",803
"143",2020,3,1,"isaiaslafuente",655
"144",2020,3,1,"trump",614
"145",2020,3,1,"lopezobrador",567
"146",2020,3,2,"carlosloret",896
"147",2020,3,2,"drjkev",788
"148",2020,3,2,"torakyah",720
"149",2020,3,2,"marianvsoler",658
"150",2020,3,2,"alexandrarquez",620
"151",2020,3,3,"carlosloret",1283
"152",2020,3,3,"pabloagustin",890
"153",2020,3,3,"lolitadixxon",810
"154",2020,3,3,"franavarro07",738
"155",2020,3,3,"lópez gatell",726
"156",2020,3,4,"milagrosdwarf",5977
"157",2020,3,4,"jürgen klopp",4916
"158",2020,3,4,"ummagummas",2607
"159",2020,3,4,"alanbarrosoa",2286
"160",2020,3,4,"pabloagustin",1886
"161",2020,3,5,"luliriver05",3070
"162",2020,3,5,"mr_sofii",2027
"163",2020,3,5,"ana__roda",1413
"164",2020,3,5,"milagrosdwarf",1382
"165",2020,3,5,"macri",1316
"166",2020,3,6,"antozoso",4949
"167",2020,3,6,"jmazucheli",1212
"168",2020,3,6,"nairrrrrrrrrrc",1005
"169",2020,3,6,"neumann",721
"170",2020,3,6,"luliriver05",687
"171",2020,3,7,"milica",3338
"172",2020,3,7,"carmenrogo10",2074
"173",2020,3,7,"vickydavilah",1484
"174",2020,3,7,"daninovarama",1347
"175",2020,3,7,"delacallehum",1299
"176",2020,3,8,"antonioabadg",3714
"177",2020,3,8,"fellas",2270
"178",2020,3,8,"leonor",1806
"179",2020,3,8,"hectorpersan",1742
"180",2020,3,8,"milica",1211
"181",2020,3,9,"sánchez",1491
"182",2020,3,9,"antonioabadg",980
"183",2020,3,9,"sanbenito",829
"184",2020,3,9,"sanchezcastejon",669
"185",2020,3,9,"pablofuente",613
"186",2020,3,11,"ortega smith",3625
"187",2020,3,11,"nyscalo",2150
"188",2020,3,11,"pablom",1546
"189",2020,3,11,"laura",1038
"190",2020,3,11,"corbacho",1021
"191",2020,3,12,"irene montero",3226
"192",2020,3,12,"tom hanks",2889
"193",2020,3,12,"trump",1786
"194",2020,3,12,"rudy gobert",1447
"195",2020,3,12,"ortega smith",1097
"196",2020,3,13,"coronavirus",1656
"197",2020,3,13,"qhari",1333
"198",2020,3,13,"trump",1068
"199",2020,3,13,"jair bolsonaro",916
"200",2020,3,13,"nicolasmaduro",852
"201",2020,3,14,"qhari",3295
"202",2020,3,14,"pedro sánchez",1304
"203",2020,3,14,"maduro",1239
"204",2020,3,14,"ivanduque",1098
"205",2020,3,14,"sánchez",1044
"206",2020,3,15,"pedro sánchez",1491
"207",2020,3,15,"messi",1473
"208",2020,3,15,"begoña gómez",1248
"209",2020,3,15,"cristiano ronaldo",1200
"210",2020,3,15,"pablo iglesias",1157
"211",2020,3,16,"empinto22",1382
"212",2020,3,16,"josé kuri",1155
"213",2020,3,16,"molinaa",1141
"214",2020,3,16,"maduro",1020
"215",2020,3,16,"alfredodelmazo",967
"216",2020,3,17,"levmauc",4132
"217",2020,3,17,"nicolasmaduro",3576
"218",2020,3,17,"maduro",3490
"219",2020,3,17,"janijoplin",2154
"220",2020,3,17,"trump",1728
"221",2020,3,18,"guillen",3475
"222",2020,3,18,"trump",2603
"223",2020,3,18,"rey",2519
"224",2020,3,18,"maduro",2252
"225",2020,3,18,"ivanduque",2159
"226",2020,3,19,"goku",7061
"227",2020,3,19,"ivanduque",4435
"228",2020,3,19,"maduro",3822
"229",2020,3,19,"covid",3505
"230",2020,3,19,"nicolasmaduro",3351
"231",2020,3,20,"covid",3983
"232",2020,3,20,"nicolasmaduro",2718
"233",2020,3,20,"maduro",2561
"234",2020,3,20,"helenavillarrt",2398
"235",2020,3,20,"trump",2073
"236",2020,3,22,"sánchez",4273
"237",2020,3,22,"pedro sánchez",3254
"238",2020,3,22,"maduro",3172
"239",2020,3,22,"nayibbukele",3018
"240",2020,3,22,"covid",2980
"241",2020,3,23,"maduro",3200
"242",2020,3,23,"alferdez",3199
"243",2020,3,23,"trump",3093
"244",2020,3,23,"amlo",2354
"245",2020,3,23,"covid",2181
"246",2020,3,24,"lopezobrador",1031
"247",2020,3,24,"idiazayuso",831
"248",2020,3,24,"trump",710
"249",2020,3,24,"amlo",649
"250",2020,3,24,"nicolasmaduro",583
"251",2020,3,25,"príncipe carlos",2171
"252",2020,3,25,"sánchez",1418
"253",2020,3,25,"carmen calvo",1224
"254",2020,3,25,"rihanna",1224
"255",2020,3,25,"alanfrancois",1188
"256",2020,3,26,"trump",4377
"257",2020,3,26,"rihanna",3962
"258",2020,3,26,"nicolasmaduro",3877
"259",2020,3,26,"sánchez",3742
"260",2020,3,26,"santiago abascal",3058
"261",2020,3,27,"trump",3409
"262",2020,3,27,"boris johnson",3089
"263",2020,3,27,"nicolasmaduro",2863
"264",2020,3,27,"alfredodelmazo",2255
"265",2020,3,27,"cirogomezl",1853
"266",2020,3,28,"covid",3312
"267",2020,3,28,"fabballarini",3026
"268",2020,3,28,"reinoeleni",3007
"269",2020,3,28,"lopezobrador",2680
"270",2020,3,28,"nicolasmaduro",2256
"271",2020,3,29,"covid",5634
"272",2020,3,29,"amlo",4401
"273",2020,3,29,"nicolasmaduro",3498
"274",2020,3,29,"lopezobrador",3431
"275",2020,3,29,"presidente",2807
"276",2020,3,30,"covid",3837
"277",2020,3,30,"fernando simón",3699
"278",2020,3,30,"trump",2177
"279",2020,3,30,"amlo",1867
"280",2020,3,30,"bedmarlola",1759
"281",2020,3,31,"covid",1146
"282",2020,3,31,"trump",884
"283",2020,3,31,"maduro",573
"284",2020,3,31,"amlo",571
"285",2020,3,31,"nicolasmaduro",540
