"","Year","Month","Text","Count"
"1",2020,1,"cherri3sandwine",2567
"2",2020,1,"marcelo ebrard",2372
"3",2020,1,"evo morales",2027
"4",2020,1,"mao zedong",1648
"5",2020,1,"hitler",1629
"6",2020,2,"pauletta",12189
"7",2020,2,"davidtorrespub",8710
"8",2020,2,"li wenliang",8128
"9",2020,2,"celiasanchezzzz",7408
"10",2020,2,"vicks",6821
"11",2020,3,"covid",26578
"12",2020,3,"trump",24522
"13",2020,3,"nicolasmaduro",24114
"14",2020,3,"maduro",21329
"15",2020,3,"sánchez",11968
"16",2020,4,"trump",100006
"17",2020,4,"covid",77787
"18",2020,4,"alfredodelmazo",53001
"19",2020,4,"nicolasmaduro",34019
"20",2020,4,"sánchez",22800
"21",2020,6,"covid",202862
"22",2020,6,"lopezobrador",76491
"23",2020,6,"grierboludo",43811
"24",2020,6,"coronavirus",38554
"25",2020,6,"nicolasmaduro",29074
"26",2020,8,"covid",239133
"27",2020,8,"nicolasmaduro",122358
"28",2020,8,"putin",34409
"29",2020,8,"lopezobrador",28788
"30",2020,8,"darío vivas",19313
"31",2020,9,"covid",201785
"32",2020,9,"nicolasmaduro",140883
"33",2020,9,"ayuso",58270
"34",2020,9,"trump",24422
"35",2020,9,"manuelbartual",17313
"36",2020,11,"covid",139244
"37",2020,11,"nicolasmaduro",60321
"38",2020,11,"lopezobrador",32438
"39",2020,11,"mippcivzla",28397
"40",2020,11,"ivanarriola17",22009
"41",2020,12,"covid",195413
"42",2020,12,"nicolasmaduro",152812
"43",2020,12,"mippcivzla",84373
"44",2020,12,"armando manzanero",36031
"45",2020,12,"alvaradoc",23665
